BuildingNumber_original;BuildingNumber;City;CompetentAuthorityName;CountryName;FacilityID;FacilityName;MainActivityIndicator;MainIAActivityCode;MainIAActivityName;MainIASectorName;MainIASubActivityName;NationalID;PostalCode;ReportingYear;StreetName;Lat;Long;Number of Records;url_1;address_full;url_1_full_csv;Unnamed: 22;addresseid;matrikelnr;ejerlavkode;komkode;ESREjdNr;registreretareal_plot
4;4;Padborg;Miljøstyrelsen / Danish Environmental Protection Agency;Denmark;189641;H.R.P Kyllingefarme A/S;True;7.(a);Installations for the intensive rearing of poultry or pigs;Intensive livestock production and aquaculture;;9102;6330;2007;Østerbækvej;54,86813874;9,342749771;1;https://dawa.aws.dk/adresser?q=;Østerbækvej 4, 6330 Padborg;https://dawa.aws.dk/adresser?q=Østerbækvej 4, 6330 Padborg;https://dawa.aws.dk/adresser?q=Østerbækvej 4, 6330 Padborg;32c88351-b2e2-1479-e044-0003ba298018;23;1530259;0580;2743;92678
4;4;Padborg;Miljøstyrelsen;Denmark;189641;H.R.P Kyllingefarme A/S;True;7.(a);Installations for the intensive rearing of poultry or pigs;Intensive livestock production and aquaculture;;9102;6330;2011;Østerbækvej;54,86813873;9,342749771;1;https://dawa.aws.dk/adresser?q=;Østerbækvej 4, 6330 Padborg;https://dawa.aws.dk/adresser?q=Østerbækvej 4, 6330 Padborg;https://dawa.aws.dk/adresser?q=Østerbækvej 4, 6330 Padborg;32c88351-b2e2-1479-e044-0003ba298018;23;1530259;0580;2743;92678
4;4;Padborg;Miljøstyrelsen;Denmark;189641;H.R.P Kyllingefarme A/S;True;7.(a);Installations for the intensive rearing of poultry or pigs;Intensive livestock production and aquaculture;;9102;6330;2012;Østerbækvej;54,86813873;9,342749771;1;https://dawa.aws.dk/adresser?q=;Østerbækvej 4, 6330 Padborg;https://dawa.aws.dk/adresser?q=Østerbækvej 4, 6330 Padborg;https://dawa.aws.dk/adresser?q=Østerbækvej 4, 6330 Padborg;32c88351-b2e2-1479-e044-0003ba298018;23;1530259;0580;2743;92678
10a;10a;Søllested;Miljøstyrelsen / Danish Environmental Protection Agency;Denmark;16821;JØRGEN HØJGAARD;True;7.(a);Installations for the intensive rearing of poultry or pigs;Intensive livestock production and aquaculture;;9007;4920;2007;Gurrebyvej;54,81091281;11,24074274;1;https://dawa.aws.dk/adresser?q=;Gurrebyvej 10, 4920 Søllested;https://dawa.aws.dk/adresser?q=Gurrebyvej 10, 4920 Søllested;https://dawa.aws.dk/adresser?q=Gurrebyvej 10, 4920 Søllested;0a3f50af-ad42-32b8-e044-0003ba298018;7a;500651;0360;3609;704950
1;1;Aalborg Øst;Miljøstyrelsen / Danish Environmental Protection Agency;Denmark;16575;DANISH CROWN Aalborg;True;8.(a);Slaughterhouses;Animal and vegetable products from the food and beverage sector;;1219;9220;2007;Svanningevej;57,03690072;10,02456199;1;https://dawa.aws.dk/adresser?q=;Svanningevej 1, 9220 Aalborg Øst;https://dawa.aws.dk/adresser?q=Svanningevej 1, 9220 Aalborg Øst;https://dawa.aws.dk/adresser?q=Svanningevej 1, 9220 Aalborg Øst;c005e111-9ae1-45f3-a75d-d3853fa003a1;6b;2005057;0851;231021;46767
1;1;Aalborg Øst;Miljøstyrelsen;Denmark;16575;DANISH CROWN Aalborg;True;8.(a);Slaughterhouses;Animal and vegetable products from the food and beverage sector;;1219;9220;2008;Svanningevej;57,03690072;10,02456199;1;https://dawa.aws.dk/adresser?q=;Svanningevej 1, 9220 Aalborg Øst;https://dawa.aws.dk/adresser?q=Svanningevej 1, 9220 Aalborg Øst;https://dawa.aws.dk/adresser?q=Svanningevej 1, 9220 Aalborg Øst;c005e111-9ae1-45f3-a75d-d3853fa003a1;6b;2005057;0851;231021;46767
1;1;Aalborg Øst;Miljøstyrelsen;Denmark;16575;DANISH CROWN AMBA;True;8.(a);Slaughterhouses;Animal and vegetable products from the food and beverage sector;;1219;9220;2009;Svanningevej;57,03690072;10,02456199;1;https://dawa.aws.dk/adresser?q=;Svanningevej 1, 9220 Aalborg Øst;https://dawa.aws.dk/adresser?q=Svanningevej 1, 9220 Aalborg Øst;https://dawa.aws.dk/adresser?q=Svanningevej 1, 9220 Aalborg Øst;c005e111-9ae1-45f3-a75d-d3853fa003a1;6b;2005057;0851;231021;46767
1;1;Aalborg Øst;Miljøstyrelsen;Denmark;16575;DANISH CROWN AMBA;True;8.(a);Slaughterhouses;Animal and vegetable products from the food and beverage sector;;1219;9220;2010;Svanningevej;57,03690072;10,02456199;1;https://dawa.aws.dk/adresser?q=;Svanningevej 1, 9220 Aalborg Øst;https://dawa.aws.dk/adresser?q=Svanningevej 1, 9220 Aalborg Øst;https://dawa.aws.dk/adresser?q=Svanningevej 1, 9220 Aalborg Øst;c005e111-9ae1-45f3-a75d-d3853fa003a1;6b;2005057;0851;231021;46767
1;1;Aalborg Øst;Miljøstyrelsen;Denmark;16575;Danish Crown A/S;True;8.(a);Slaughterhouses;Animal and vegetable products from the food and beverage sector;;1219;9220;2011;Svanningevej;57,03633072;10,02395307;1;https://dawa.aws.dk/adresser?q=;Svanningevej 1, 9220 Aalborg Øst;https://dawa.aws.dk/adresser?q=Svanningevej 1, 9220 Aalborg Øst;https://dawa.aws.dk/adresser?q=Svanningevej 1, 9220 Aalborg Øst;c005e111-9ae1-45f3-a75d-d3853fa003a1;6b;2005057;0851;231021;46767
1;1;Aalborg Øst;Miljøstyrelsen;Denmark;16575;Danish Crown A/S;True;8.(a);Slaughterhouses;Animal and vegetable products from the food and beverage sector;;1219;9220;2012;Svanningevej;57,03633072;10,02395307;1;https://dawa.aws.dk/adresser?q=;Svanningevej 1, 9220 Aalborg Øst;https://dawa.aws.dk/adresser?q=Svanningevej 1, 9220 Aalborg Øst;https://dawa.aws.dk/adresser?q=Svanningevej 1, 9220 Aalborg Øst;c005e111-9ae1-45f3-a75d-d3853fa003a1;6b;2005057;0851;231021;46767
