CVR-nummer;Startdato;Ophørsdato;Navn;Adresse;Postnr.;By;Virksomhedsform;Hovedbranche;Telefonnr;Email;Reklamebeskyttet;Lat;Lon;;
26686997;01/01/2002;;SEVEL SLAGTERI A/S ;Søgårdvej 28  -  Søgård;7830;Vinderup;Aktieselskab;101110 Forarbejdning af svinekød;97448308;sevelslagteri@sevelslagteri.dk;Nej;56,459868;8,8789476;;
34619069;18/07/2012;;MOESGAARD MEAT 2012 A/S ;Naurvej 3A;7500;Holstebro;Aktieselskab;101110 Forarbejdning af svinekød;97432326;moesgaard@moesgaard-meat.dk;Nej;56,375414;8,5190984;;
13222495;08/05/1989;;DANEPORK A/S ;Tørskindvej 19;7183;Randbøl;Aktieselskab;101110 Forarbejdning af svinekød;75883866;info@danepork.dk;Ja;55,6949233;9,3142651;;
13201846;28/06/1989;;GLUMSØ SLAGTEHUS ApS ;Søvej 5;4171;Glumsø;Anpartsselskab;101110 Forarbejdning af svinekød;57646003;;Nej;55,350802;11,6903369;;
38904108;01/09/2017;;Hvidebæk Meat ApS ;Industrivej 17D  -  Ubby;4490;Jerslev;Anpartsselskab;101110 Forarbejdning af svinekød;;;Nej;55,612118;11,213025;;
36686278;05/03/2015;;Hvidebæk Slagteri og Pølsefabrik ApS ;Industrivej 17D  -  Ubby;4490;Jerslev;Anpartsselskab;101110 Forarbejdning af svinekød;;;Nej;55,612118;11,213025;;
21613584;19/04/1999;;Grillslagteren ApS ;c/o Lars Jakobsen -   Kirkebyvej 6  -  Nors;7700;Thisted;Anpartsselskab;101110 Forarbejdning af svinekød;30103829;info@grillslagteren.dk;Ja;57,0223132;8,6770047;;
28717121;26/05/2005;;SLAGTER ENGDAHL ApS ;Industriparken 10  -  Holeby;4960;Holeby;Anpartsselskab;101110 Forarbejdning af svinekød;;;Nej;54,726057;11,459089;;
30920406;10/09/2007;;GRAMBOGÅRD A/S ;Ellehaven 55;5690;Tommerup;Aktieselskab;101110 Forarbejdning af svinekød;64761577;;Nej;55,31236;10,215956;;
37033960;24/08/2015;;HP Production ApS ;Naurvej 3A;7500;Holstebro;Anpartsselskab;101110 Forarbejdning af svinekød;97432326;moesgaard@moesgaard-meat.dk;Nej;56,375414;8,5190984;;
27654746;22/03/2004;;VESTER HÆSINGE SLAGTERFORRETNING ApS ;c/o Stefan Jensen -   Gl. Stenderupvej 30  -  Gl Stenderup;5672;Broby;Anpartsselskab;101110 Forarbejdning af svinekød;62631853;vhslagter@mail.dk;Nej;55,180121;10,263248;;
16523844;01/10/1992;;INCO SVENDBORG SLAGTEHUS A/S ;Porthusvej 75;5700;Svendborg;Aktieselskab;101110 Forarbejdning af svinekød;62213278;;Nej;55,0736934;10,6093228;;
37144789;08/10/2015;;Hårby Slagteren IVS ;Den Grønne Vej 1  -  Hårby;8660;Skanderborg;Iværksætterselskab;101110 Forarbejdning af svinekød;86523010;hs-slagteri@hotmail.dk;Ja;56,081172;9,89441;;
