CVR;P-nummer;mainPno;namePno;addressPno;zipcodePno;cityPno;protectedPno;phonePno;emailPno;startdatePno;enddatePno;employeesPno;addresscoPno;industrycodePno;industrydescPno;Lat;Lon
26686997;1001675851;False;SEVEL SLAGTERI A/S;Hvamvej 23, st. tv.;7500.0;Holstebro;False;;;24/11 - 1966;31/12 - 2003;5-9;;522200;Slagter- og viktualieforretninger;56,40937;8,73063
26686997;1009201935;True;SEVEL SLAGTERI A/S;Søgårdvej 28;7830.0;Vinderup;False;97448308.0;sevelslagteri@sevelslagteri.dk;01/01 - 2002;;20-49;;101110;Forarbejdning af svinekød;56,45987;8,87895
34619069;1017816078;True;MOESGAARD MEAT 2012 A/S;Naurvej 3A;7500.0;Holstebro;False;;;18/07 - 2012;;20-49;;101110;Forarbejdning af svinekød;56,376528;8,517437
13222495;1000523430;True;DANEPORK A/S;Tørskindvej 19;7183.0;Randbøl;False;75883866.0;info@danepork.dk;08/05 - 1989;;100-199;;101110;Forarbejdning af svinekød;55,69449;9,31451
13201846;1000519483;True;GLUMSØ SLAGTEHUS APS;Søvej 5;4171.0;Glumsø;False;57646003.0;;01/01 - 1989;;20-49;;101110;Forarbejdning af svinekød;55,350791;11,690383
38904108;1022802999;True;Hvidebæk Meat ApS;Industrivej 17D;4490.0;Jerslev Sjælland;False;;;01/09 - 2017;;;;101110;Forarbejdning af svinekød;55,6139471;11,2163612
36686278;1020245014;True;Hvidebæk Slagteri og Pølsefabrik ApS;Industrivej 17D;4490.0;Jerslev Sjælland;False;;;05/03 - 2015;;50-99;;101110;Forarbejdning af svinekød;55,6139471;11,2163612
21613584;1005064899;True;Grillslagteren ApS;Kirkebyvej 6;7700.0;Thisted;False;97981777.0;;19/04 - 1999;;0;Lars Jakobsen;101110;Forarbejdning af svinekød;57,022302;8,677042
28717121;1011359872;True;SLAGTER ENGDAHL ApS;Industriparken 10;4960.0;Holeby;False;;;26/05 - 2005;;5-9;;101110;Forarbejdning af svinekød;54,72615;11,4588
28717121;1024017105;False;Pølsemageri;Industriparken 10;4960.0;Holeby;False;;;01/10 - 2018;;;Slagter Engdahl ApS;101300;Produktion af kød- og fjerkrækødprodukter;54,72615;11,4588
30920406;1013712804;True;GRAMBOGÅRD A/S;Ellehaven 55;5690.0;Tommerup;False;64761577.0;;10/09 - 2007;;10-19;;101110;Forarbejdning af svinekød;55,31235;10,216
37033960;1020670734;True;HP Production ApS;Naurvej 3A;7500.0;Holstebro;False;97432326.0;moesgaard@moesgaard-meat.dk;24/08 - 2015;;20-49;;101110;Forarbejdning af svinekød;56,376528;8,517437
27654746;1015938354;False;Vester Hæsinge Slagterforretning ApS;Birkevej 37;5672.0;Broby;False;62631353.0;vhslagter@mail.dk;25/03 - 2010;31/12 - 2013;2-4;;472200;Slagter- og viktualieforretninger;55,194946;10,247266
27654746;1021177675;False;Vester Hæsinge Slagterforretning ApS;Birkevej 37;5672.0;Broby;False;62631353.0;vhslagter@mail.dk;02/02 - 2016;03/02 - 2016;;;463200;Engroshandel med kød og kødprodukter;55,194946;10,247266
27654746;1021393130;False;Ringe Slagter &amp; Delikatesser;Jernbanegade 21;5750.0;Ringe;False;62631353.0;vhslagter@mail.dk;20/04 - 2016;31/12 - 2016;5-9;;472200;Slagter- og viktualieforretninger;55,23937;10,480508
27654746;1010467043;True;VESTER HÆSINGE SLAGTERFORRETNING ApS;Birkevej 37;5672.0;Broby;False;62631353.0;vhslagter@mail.dk;22/03 - 2004;;10-19;;101110;Forarbejdning af svinekød;55,194946;10,247266
16523844;1001113788;True;INCO SVENDBORG SLAGTEHUS A/S;Porthusvej 75;5700.0;Svendborg;False;62213278.0;;01/10 - 1992;;20-49;;101110;Forarbejdning af svinekød;55,073755;10,609686
37144789;1020799249;True;Hårby Slagteren IVS;Den Grønne Vej 1;8660.0;Skanderborg;True;86523010.0;hs-slagteri@hotmail.dk;08/10 - 2015;;20-49;;101110;Forarbejdning af svinekød;56,081277;9,894588
26121264;1016497297;False;Danish Crown A/S;Viddingherredsgade 26;6270.0;Tønder;False;89191919.0;dc@danishcrown.dk;10/12 - 2010;31/12 - 2016;0;;101190;Forarbejdning af andet kød;54,9322607;8,8585858
26121264;1021759607;False;Danish Crown A/S;Tulipvej 10;7100.0;Vejle;False;;;01/10 - 2016;30/11 - 2017;2-4;;101110;Forarbejdning af svinekød;55,73513;9,56902
26121264;1021753617;False;Danish Crown A/S;Skt. Knuds Torv 7-9;8000.0;Aarhus C;False;89191919.0;;15/09 - 2016;31/12 - 2017;0;;101110;Forarbejdning af svinekød;56,15157;10,20594
26121264;1016497416;False;Danish Crown A/S;Nygade 48;6900.0;Skjern;False;89191919.0;dc@danishcrown.dk;10/12 - 2010;31/12 - 2014;0;;101190;Forarbejdning af andet kød;55,952791;8,490912
26121264;1016497181;False;Danish Crown A/S;Østre Alle 4;9560.0;Hadsund;False;89191919.0;dc@danishcrown.dk;10/12 - 2010;31/12 - 2013;20-49;;101110;Forarbejdning af svinekød;56,716021;10,116888
26121264;1016497084;False;Danish Crown A/S;Vendersgade 40;7500.0;Holstebro;False;89191919.0;dc@danishcrown.dk;10/12 - 2010;31/12 - 2013;10-19;;101190;Forarbejdning af andet kød;56,369482;8,619365
26121264;1016497203;False;Danish Crown A/S;Vendersgade 6;7500.0;Holstebro;False;89191919.0;dc@danishcrown.dk;10/12 - 2010;31/12 - 2014;0;;101190;Forarbejdning af andet kød;56,366182;8,619496
26121264;1016497467;False;Danish Crown A/S;Vendersgade 23-25;7500.0;Holstebro;False;89191919.0;dc@danishcrown.dk;10/12 - 2010;31/12 - 2014;1;;101110;Forarbejdning af svinekød;56,3669217;8,6199588
26121264;1016497491;False;Danish Crown A/S;Brårupgade 11;7800.0;Skive;False;89191919.0;dc@danishcrown.dk;10/12 - 2010;11/11 - 2014;0;;101110;Forarbejdning af svinekød;56,56159;9,035146
26121264;1016519975;False;Danish Crown A/S;Gl Hygumvej 5;6630.0;Rødding;False;89191919.0;dc@danishcrown.dk;20/12 - 2010;05/01 - 2012;0;;101110;Forarbejdning af svinekød;55,3653;9,04902
26121264;1016497289;False;DANISH CROWN A/S;Gammelby Ringvej 1;6700.0;Esbjerg;False;89191919.0;dc@danishcrown.dk;10/12 - 2010;31/12 - 2014;1;;101110;Forarbejdning af svinekød;55,462987;8,46148
26121264;1018235591;False;ESS-FOOD;Kirkebjerg Parkvej 9;2605.0;Brøndby;False;;;31/01 - 2013;31/10 - 2014;1;;101110;Forarbejdning af svinekød;55,659378;12,395431
26121264;1016497254;False;Danish Crown A/S;Ndr. Havnevej 1;6000.0;Kolding;False;89191919.0;dc@danishcrown.dk;10/12 - 2010;;5-9;;101110;Forarbejdning af svinekød;55,495083;9,492563
26121264;1016458771;False;Danish Crown A/S;Havnegade 5;5600.0;Faaborg;False;89191919.0;;22/11 - 2010;;1;;101110;Forarbejdning af svinekød;55,09611;10,237623
26121264;1019250810;False;ESS-Food;Kirkebjerg Parkvej 9;2605.0;Brøndby;False;;;01/01 - 2013;;2-4;;101110;Forarbejdning af svinekød;55,659378;12,395431
26121264;1019812223;False;Danish Crown A/S;Flæsketorvet 41;1711.0;København V;False;89191919.0;hekn@danishcrown.dk;01/06 - 2014;;5-9;;101110;Forarbejdning af svinekød;55,668222;12,560374
