CVR;P-nummer;mainPno;namePno;addressPno;zipcodePno;cityPno;protectedP;phonePno;emailPno;startdateP;enddatePno;employeesP;addresscoP;industryco;industryde;Lat;Lon;field_19;INT_Lat;INT_Lon
"26686997";"1001675851";False;SEVEL SLAGTERI A/S;"Hvamvej 23, st. tv.";"7500.0";Holstebro;False;;;24/11 - 1966;31/12 - 2003;5-9;;"522200";Slagter- og viktualieforretninger;"56,40937";"8,73063";;56.409370000000003;8.730630000000000
"26686997";"1009201935";True;SEVEL SLAGTERI A/S;Søgårdvej 28;"7830.0";Vinderup;False;"97448308.0";sevelslagteri@sevelslagteri.dk;01/01 - 2002;;20-49;;"101110";Forarbejdning af svinekød;"56,45987";"8,87895";;56.459870000000002;8.878950000000000
"34619069";"1017816078";True;MOESGAARD MEAT 2012 A/S;Naurvej 3A;"7500.0";Holstebro;False;;;18/07 - 2012;;20-49;;"101110";Forarbejdning af svinekød;"56,376528";"8,517437";;56.376528000000000;8.517436999999999
"13222495";"1000523430";True;DANEPORK A/S;Tørskindvej 19;"7183.0";Randbøl;False;"75883866.0";info@danepork.dk;08/05 - 1989;;100-199;;"101110";Forarbejdning af svinekød;"55,69449";"9,31451";;55.694490000000002;9.314510000000000
"13201846";"1000519483";True;GLUMSØ SLAGTEHUS APS;Søvej 5;"4171.0";Glumsø;False;"57646003.0";;01/01 - 1989;;20-49;;"101110";Forarbejdning af svinekød;"55,350791";"11,690383";;55.350791000000001;11.690383000000001
"38904108";"1022802999";True;Hvidebæk Meat ApS;Industrivej 17D;"4490.0";Jerslev Sjælland;False;;;01/09 - 2017;;;;"101110";Forarbejdning af svinekød;"55,6139471";"11,2163612";;55.613947099999997;11.216361200000000
"36686278";"1020245014";True;Hvidebæk Slagteri og Pølsefabrik ApS;Industrivej 17D;"4490.0";Jerslev Sjælland;False;;;05/03 - 2015;;50-99;;"101110";Forarbejdning af svinekød;"55,6139471";"11,2163612";;55.613947099999997;11.216361200000000
"21613584";"1005064899";True;Grillslagteren ApS;Kirkebyvej 6;"7700.0";Thisted;False;"97981777.0";;19/04 - 1999;;"0";Lars Jakobsen;"101110";Forarbejdning af svinekød;"57,022302";"8,677042";;57.022302000000003;8.677042000000000
"28717121";"1011359872";True;SLAGTER ENGDAHL ApS;Industriparken 10;"4960.0";Holeby;False;;;26/05 - 2005;;5-9;;"101110";Forarbejdning af svinekød;"54,72615";"11,4588";;54.726149999999997;11.458800000000000
"28717121";"1024017105";False;Pølsemageri;Industriparken 10;"4960.0";Holeby;False;;;01/10 - 2018;;;Slagter Engdahl ApS;"101300";Produktion af kød- og fjerkrækødprodukter;"54,72615";"11,4588";;54.726149999999997;11.458800000000000
