CVR;nameCvr;addressCvr;zipcodeCvr;cityCvr;citynameCv;protectedC;phoneCvr;emailCvr;startdateC;enddateCvr;employeesC;companycod;companydes;creditstar;creditbank;creditstat;ownersName;Lat;Lon;INT_Lat;INT_Lon
"26686997";SEVEL SLAGTERI A/S;Søgårdvej 28;"7830";Vinderup;Søgård;FALSE;"97448308";sevelslagteri@sevelslagteri.dk;01/01/2002;;20-49;"60";Aktieselskab;;FALSE;;;"56,459868";"8,8789476";56.459868000000000;8.878947600000000
"34619069";MOESGAARD MEAT 2012 A/S;Naurvej 3A;"7500";Holstebro;;FALSE;"97432326";moesgaard@moesgaard-meat.dk;18/07/2012;;20-49;"60";Aktieselskab;;FALSE;;;"56,375414";"8,5190984";56.375413999999999;8.519098400000001
"13222495";DANEPORK A/S;Tørskindvej 19;"7183";Randbøl;;TRUE;"75883866";info@danepork.dk;08/05/1989;;100-199;"60";Aktieselskab;;FALSE;;;"55,6949233";"9,3142651";55.694923299999999;9.314265100000000
"13201846";GLUMSØ SLAGTEHUS ApS;Søvej 5;"4171";Glumsø;;FALSE;"57646003";;28/06/1989;;20-49;"80";Anpartsselskab;;FALSE;;;"55,350802";"11,6903369";55.350802000000002;11.690336900000000
"38904108";Hvidebæk Meat ApS;Industrivej 17D;"4490";Jerslev Sjælland;Ubby;FALSE;;;01/09/2017;;;"80";Anpartsselskab;;FALSE;;;"55,612118";"11,213025";55.612118000000002;11.213025000000000
"36686278";Hvidebæk Slagteri og Pølsefabrik ApS;Industrivej 17D;"4490";Jerslev Sjælland;Ubby;FALSE;;;05/03/2015;;50-99;"80";Anpartsselskab;;FALSE;;;"55,612118";"11,213025";55.612118000000002;11.213025000000000
"21613584";Grillslagteren ApS;Kirkebyvej 6;"7700";Thisted;Nors;TRUE;"30103829";info@grillslagteren.dk;19/04/1999;;"0";"80";Anpartsselskab;;FALSE;;"[{'name': 'Lars Drechsler Jakobsen'}, {'name': 'Allan Andersen'}]";"57,0223132";"8,6770047";57.022313199999999;8.677004699999999
"28717121";SLAGTER ENGDAHL ApS;Industriparken 10;"4960";Holeby;Holeby;FALSE;"54606065";;26/05/2005;;5-9;"80";Anpartsselskab;;FALSE;;"[{'name': 'Jesper Engdahl'}, {'name': 'Morten Engdahl'}]";"54,726057";"11,459089";54.726056999999997;11.459089000000001
"30920406";GRAMBOGÅRD A/S;Ellehaven 55;"5690";Tommerup;;FALSE;"64761577";;10/09/2007;;10-19;"60";Aktieselskab;;FALSE;;;"55,31236";"10,215956";55.312359999999998;10.215956000000000
"37033960";HP Production ApS;Naurvej 3A;"7500";Holstebro;;FALSE;"97432326";moesgaard@moesgaard-meat.dk;24/08/2015;;20-49;"80";Anpartsselskab;;FALSE;;;"56,375414";"8,5190984";56.375413999999999;8.519098400000001
"27654746";VESTER HÆSINGE SLAGTERFORRETNING ApS;Gl. Stenderupvej 30;"5672";Broby;Gl Stenderup;FALSE;"62631853";vhslagter@mail.dk;22/03/2004;;10-19;"80";Anpartsselskab;;FALSE;;[{'name': 'Stefan Stenberg Jensen'}];"55,180121";"10,263248";55.180121000000000;10.263248000000001
"16523844";INCO SVENDBORG SLAGTEHUS A/S;Porthusvej 75;"5700";Svendborg;;FALSE;"62213278";;01/10/1992;;20-49;"60";Aktieselskab;;FALSE;;[{'name': 'Lis Bente Christiansen'}];"55,0736934";"10,6093228";55.073693400000003;10.609322799999999
"37144789";Hårby Slagteren IVS;Den Grønne Vej 1;"8660";Skanderborg;Hårby;TRUE;"86523010";hs-slagteri@hotmail.dk;08/10/2015;;20-49;"81";Iværksætterselskab;;FALSE;;;"56,081172";"9,89441";56.081172000000002;9.894410000000001
"26121264";DANISH CROWN A/S;Marsvej 43;"8960";Randers SØ;;FALSE;"89191919";;01/07/2001;;1000-999999;"60";Aktieselskab;;FALSE;;;"56,430005";"10,059676";56.430005000000001;10.059676000000000
"26786576";TICAN FRESH MEAT A/S;Strandvejen 6;"7700";Thisted;;FALSE;"99192300";TICAN@TICAN.DK;18/09/2002;;500-999;"60";Aktieselskab;;FALSE;;[{'name': 'Tönnies International Holding GmbH'}];"56,9542988";"8,6996903";56.954298799999997;8.699690300000000
"39547430";Jensen's Slagtehus ApS;Rigtrupvej 44;"8370";Hadsten;Voldum;TRUE;"86491416";information@jensens-slagtehus.dk;07/05/2018;;;"80";Anpartsselskab;28/04/2020;TRUE;;[{'name': 'Morten Enggrob Jensen'}];"56,368032";"10,1861336";56.368031999999999;10.186133600000000
"14641998";HØVE SLAGTERI;Høvevej 65;"4550";Asnæs;;TRUE;"59316886";;01/11/1990;;"0";"10";Enkeltmandsvirksomhed;;FALSE;;[{'name': 'Jan Lund Christensen'}];"55,8360478";"11,4867386";55.836047800000003;11.486738600000001
"41280158";Slagter Kristian Sand Olesen;Brandevej 24;"7430";Ikast;;TRUE;;ks.olesen@hotmail.com;13/04/2020;;;"10";Enkeltmandsvirksomhed;;FALSE;;[{'name': 'Kristian Sand Olesen'}];"56,07589";"9,145003";56.075890000000001;9.145003000000001
"21942677";Jensens Slagtehus Morten Enggrob Jensen;Rigtrupvej 44;"8370";Hadsten;Voldum;FALSE;;information@jensens-slagtehus.dk;01/09/1999;;2-4;"10";Enkeltmandsvirksomhed;;FALSE;;[{'name': 'Morten Enggrob Jensen'}];"56,368032";"10,1861336";56.368031999999999;10.186133600000000
"28649398";Smedegård v/ John Kristian Jensen;Kytterupvej 11;"6990";Ulfborg;;FALSE;;;18/07/2005;;"0";"10";Enkeltmandsvirksomhed;;FALSE;;[{'name': 'John Kristian Jensen'}];"56,300915";"8,332955";56.300915000000003;8.332955000000000
"36590696";Sæby Gårdslagteri I/S;Ålborgvej 108;"9300";Sæby;;TRUE;"60443804";kontakt@saebygaardslagteri.dk;01/05/2015;;"0";"30";Interessentskab;;FALSE;;"[{'name': 'Bjarke Jacobsen'}, {'name': 'Thomas Heden Gadekær'}]";"57,320001";"10,4753138";57.320000999999998;10.475313800000000
"40690484";Den tørrede gris;St. Ladegårdsvej 8;"4180";Sorø;;TRUE;"23262216";Skovgrisen@gmail.com;08/08/2019;;;"10";Enkeltmandsvirksomhed;;FALSE;;[{'name': 'Niels Bjerregård Pedersen'}];"55,419637";"11,6143059";55.419637000000002;11.614305900000000
"38119362";Riberholdt Consulting;Hvalfisken 11;"7500";Holstebro;;TRUE;"30142120";idomlund@gmail.com;19/10/2016;;"0";"10";Enkeltmandsvirksomhed;;FALSE;;[{'name': 'Kristian Riberholdt'}];"56,3221556";"8,6091291";56.322155600000002;8.609129100000001
"30267699";Ulfborg Slagteri v/Per O Nielsen;Industriarealet 40;"6990";Ulfborg;;FALSE;"97492200";;01/04/2007;;"1";"10";Enkeltmandsvirksomhed;;FALSE;;[{'name': 'Per Overby Nielsen'}];"56,2612983";"8,3191117";56.261298300000000;8.319111700000001
"35909737";Ømands I/S;Sønder Vilstrup Bygade 1B;"6100";Haderslev;;TRUE;;aungstrup@gmail.com;18/07/2014;;"0";"30";Interessentskab;;FALSE;;"[{'name': 'Allan Ømand Ungstrup'}, {'name': 'Mette Hoeing'}]";"55,19181";"9,516577";55.191809999999997;9.516577000000000
"32572154";Hjemmeslagter Martin Jørgensen;Harres 4;"6261";Bredebro;;FALSE;"73710044";martinhjemmeslagter@sol.dk;01/12/2009;;"0";"10";Enkeltmandsvirksomhed;;FALSE;;[{'name': 'Martin Jørgensen'}];"55,057104";"8,779984";55.057104000000002;8.779984000000001
"27302165";Grenaa Slagtehus I/S v/Tage Sehested Severinsen og Peder Bertelsen;Tempovej 18;"8500";Grenaa;;FALSE;"86327032";mail@grenaaslagtehus.dk;01/09/2003;;5-9;"30";Interessentskab;;FALSE;;"[{'name': 'Tage Sehested Severinsen'}, {'name': 'Peder Bertelsen'}]";"56,422706";"10,902828";56.422705999999998;10.902828000000000
"35696032";Concepcion Pimentel Schallert;Auningvej 3;"8963";Auning;;TRUE;;concepcionp3@rougsoes.net;01/01/2014;;"0";"10";Enkeltmandsvirksomhed;;FALSE;;[{'name': 'Concepcion Pimentel Schallert'}];"56,449026";"10,4061471";56.449026000000003;10.406147100000000
"26669170";Selskabet af 01.01.2002 ApS;Industrivej 17D;"4490";Jerslev Sjælland;Ubby;FALSE;"59596200";berit@hvidebaek-slagteri.dk;01/01/2002;;2-4;"80";Anpartsselskab;07/06/2018;TRUE;"1";;"55,612118";"11,213025";55.612118000000002;11.213025000000000
"30647653";Råmose Friland;Nyrupvej 2;"4200";Slagelse;;TRUE;;raamosefriland@outlook.dk;01/08/2020;;"0";"15";Personligt ejet Mindre Virksomhed;;FALSE;;[{'name': 'Leslie Helleskov Stie'}];"55,41767";"11,356928";55.417670000000001;11.356928000000000
"28364733";Mobil Hjemmeslagt v/Brian Hald Thrane;Stationsvej 8;"6600";Vejen;Andst;FALSE;"42390960";;01/12/2008;31/12/2012;;"10";Enkeltmandsvirksomhed;;FALSE;;[{'name': 'Brian Hald Thrane'}];"55,4701256";"9,2383842";55.470125600000003;9.238384200000000
"35765417";Håsum Chacuteri;Landevejen 28;"7860";Spøttrup;;FALSE;;ulriklajgaard@gmail.com;02/05/2014;31/05/2015;;"10";Enkeltmandsvirksomhed;;FALSE;;[{'name': 'Ulrik Lajgaard'}];"56,577662";"8,848227";56.577661999999997;8.848227000000000
"35099417";Sindal Slagtehus;Nejstvej 99;"9870";Sindal;;FALSE;;info@sindalslagtehus.dk;01/07/2013;31/12/2017;"0";"10";Enkeltmandsvirksomhed;;FALSE;;[{'name': 'Palle Poulsen'}];"57,477244";"10,24421";57.477243999999999;10.244210000000001
"16860808";CARL HERSE;Rævekærvej 4;"6230";Rødekro;Nørrehede;FALSE;"74698121";;01/04/1993;30/06/2009;"0";"10";Enkeltmandsvirksomhed;;FALSE;;[{'name': 'Carl Jensen Herse'}];"55,125594";"9,37573";55.125594000000000;9.375730000000001
"25006267";Hvam Slagterhus I/S;Gl. Viborgvej 86;"9620";Aalestrup;;FALSE;"98648003";;11/10/1999;19/11/2017;2-4;"30";Interessentskab;19/11/2017;TRUE;"3";"[{'name': 'Bo Laurits Hougaard Nielsen'}, {'name': 'Elisabet Nielsen'}]";"56,7638821";"9,5580595";56.763882099999996;9.558059500000001
"38998455";AIDT SLAGTEHUS V/DANNIE TOM JØRGENSEN;Bavnehøjvej 1;"8881";Thorsø;Aidt;FALSE;"86966943";;01/02/1987;31/12/2010;"0";"10";Enkeltmandsvirksomhed;;FALSE;;[{'name': 'Dannie Tom Jørgensen'}];"56,3115561";"9,8063041";56.311556099999997;9.806304100000000
"30475135";Jørgen Olsen;Elmekrogen 4;"3200";Helsinge;;FALSE;"21629620";jio@postil.tele.dk;01/08/2007;31/12/2009;;"10";Enkeltmandsvirksomhed;;FALSE;;[{'name': 'Jørgen Ingemann Olsen'}];"56,019973";"12,185677";56.019973000000000;12.185677000000000
